Job,Clocked In,Clocked Out,Duration,Hourly Rate,Earnings,Comment,Tags,Breaks,Adjustments,TotalTimeAdjustment,TotalEarningsAdjustment
Jet2.com,01/11/2017 08:33,01/11/2017 17:31,08:20,61.5,512.5,,,0:41 (13:10 to 13:51),,-0:41,0
Jet2.com,02/11/2017 08:35,02/11/2017 17:39,08:40,61.5,533,,,0:31 (14:03 to 14:34),,-0:31,0
Jet2.com,03/11/2017 08:43,03/11/2017 16:28,07:50,61.5,481.75,,,,,,
Jet2.com,06/11/2017 08:39,06/11/2017 17:31,08:20,61.5,512.5,,,0:41 (13:11 to 13:52),,-0:41,0
Jet2.com,07/11/2017 08:43,07/11/2017 14:11,05:30,61.5,338.25,,,,,,
Jet2.com,08/11/2017 08:41,08/11/2017 17:42,08:30,61.5,522.75,,,0:36 (13:28 to 14:04),,-0:36,0
Jet2.com,10/11/2017 08:38,10/11/2017 16:33,08:00,61.5,492,,,,,,
Jet2.com,13/11/2017 08:36,13/11/2017 17:37,08:30,61.5,522.75,,,0:32 (12:46 to 13:18),,-0:32,0
Jet2.com,14/11/2017 08:37,14/11/2017 14:06,05:30,61.5,338.25,,,,,,
Jet2.com,15/11/2017 08:42,15/11/2017 17:40,08:30,61.5,522.75,,,0:37 (13:19 to 13:56),,-0:37,0
Jet2.com,16/11/2017 08:41,16/11/2017 14:08,05:30,61.5,338.25,,,,,,
Jet2.com,17/11/2017 08:43,17/11/2017 16:43,08:00,61.5,492,,,,,,
Jet2.com,20/11/2017 07:31,20/11/2017 16:33,08:30,61.5,522.75,,,0:32 (13:19 to 13:51),,-0:32,0
Jet2.com,21/11/2017 07:40,21/11/2017 14:08,06:30,61.5,399.75,,,,,,
Jet2.com,22/11/2017 08:43,22/11/2017 17:31,08:20,61.5,512.5,,,0:29 (13:22 to 13:51),,-0:29,0
Jet2.com,23/11/2017 08:47,23/11/2017 17:40,08:30,61.5,522.75,,,0:23 (13:19 to 13:42),,-0:23,0
Jet2.com,24/11/2017 08:38,24/11/2017 17:02,08:30,61.5,522.75,,,,,,
Jet2.com,28/11/2017 08:41,28/11/2017 14:09,05:30,61.5,338.25,,,,,,
Jet2.com,29/11/2017 08:40,29/11/2017 14:06,05:30,61.5,338.25,,,,,,
Jet2.com,30/11/2017 08:46,30/11/2017 14:07,05:30,61.5,338.25,,,,,,
